date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:07:49	162/162	---M--	200	added ('OK')	image/gif	date:Thu,%2024%20Jul%202025%2002:50:28%20GMT	https://resources.blogblog.com/img/icon18_edit_allbkg.gif	F:/HTTrack/PHYSICS_NET/resources.blogblog.com/img/icon18_edit_allbkg.gif	(from https://www.csirnetphysics.in/p/hand-written-notes_28.html)
08:07:50	195694/195694	---M--	200	added ('OK')	text/javascript	etag:13037417158997289688	https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js?client=ca-pub-5836552708132547&host=ca-host-pub-1556223355139109	F:/HTTrack/PHYSICS_NET/pagead2.googlesyndication.com/pagead/js/fc8a6.txt	(from https://www.csirnetphysics.in/p/hand-written-notes_28.html)
08:07:50	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%225eb03e5f-7918%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	F:/HTTrack/PHYSICS_NET/cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	(from https://www.csirnetphysics.in/p/hand-written-notes_28.html)
08:07:53	32581/32581	---M--	200	added ('OK')	image/png	etag:%22vaf%22	https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjEPUVeTMcKz4kkYQz2O0HyzD6gamzlBgRMOV3pTmOfvYAqFpd8DLiU61urJMNokUcZQH5A92YY73iHkP-5NiX4kmtHZp0LsoCvi0AYP4cHI5pBcWWzKJGzsY-PupcLYYK4gS_0WZs_LpRf/s1600/new+u+tube.png	F:/HTTrack/PHYSICS_NET/blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjEPUVeTMcKz4kkYQz2O0HyzD6gamzlBgRMOV3pTmO/s1600/new%20u%20tube.png	(from https://www.csirnetphysics.in/p/hand-written-notes_28.html)
08:07:53	62428/62428	---M--	200	added ('OK')	text/javascript	date:Tue,%2004%20Apr%202023%2017:52:30%20GMT	https://www.gstatic.com/charts/loader.js	F:/HTTrack/PHYSICS_NET/www.gstatic.com/charts/loader.js	(from https://www.csirnetphysics.in/p/hand-written-notes_28.html)
08:07:54	3091/3091	---M-Z	200	added ('OK')	application/x-javascript	etag:%22f929d918dd6396007f26b6153897bd38%22	https://connect.facebook.net/en_GB/sdk.js	F:/HTTrack/PHYSICS_NET/connect.facebook.net/en_GB/sdk.js	(from https://www.csirnetphysics.in/p/hand-written-notes_28.html)
08:07:55	147924/147924	---M--	200	added ('OK')	text/javascript	date:Thu,%2024%20Jul%202025%2008:51:14%20GMT	https://www.blogger.com/static/v1/widgets/3000588928-widgets.js	F:/HTTrack/PHYSICS_NET/www.blogger.com/static/v1/widgets/3000588928-widgets.js	(from https://www.csirnetphysics.in/p/hand-written-notes_28.html)
08:07:55	233/233	---M--	200	added ('OK')	image/png	date:Thu,%2024%20Jul%202025%2023:51:26%20GMT	https://www.blogger.com/img/widgets/stats-flipper.png	F:/HTTrack/PHYSICS_NET/www.blogger.com/img/widgets/stats-flipper.png	(from https://www.blogger.com/static/v1/widgets/573632073-css_bundle_v2.css)
08:07:55	335/335	---M--	200	added ('OK')	image/png	date:Wed,%2023%20Jul%202025%2007:50:52%20GMT	https://resources.blogblog.com/img/widgets/s_top.png	F:/HTTrack/PHYSICS_NET/resources.blogblog.com/img/widgets/s_top.png	(from https://www.blogger.com/static/v1/widgets/573632073-css_bundle_v2.css)
08:07:56	43/43	---M--	200	added ('OK')	image/gif	date:Wed,%2023%20Jul%202025%2015:52:54%20GMT	https://www.blogger.com/img/transparent.gif	F:/HTTrack/PHYSICS_NET/www.blogger.com/img/transparent.gif	(from https://www.csirnetphysics.in/p/csir-net-cut-off.html)
08:07:57	40951/40951	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2025%20Jul%202025%2002:37:57%20GMT	https://www.csirnetphysics.in/p/%22https://fonts.gstatic.com/s/i/materialiconsextended/insert_photo/v6/grey600-24dp/1x/baseline_insert_photo_grey600_24dp.png%22	F:/HTTrack/PHYSICS_NET/www.csirnetphysics.in/p/_https_/fonts.gstatic.com/s/i/materialiconsextended/insert_photo/v6/grey600-24dp/1x/baseline_insert_photo_grey600_24dp.1c.delayed	(from https://www.csirnetphysics.in/p/csir-net-cut-off.html)
08:08:00	113711/113711	---M--	200	added ('OK')	image/jpeg	etag:%22v38a%22	https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjLz9CsGlCUD5EEZGkuagUghpGt3ipETfFZZc1deI0KSbkdAFxIX8gyGEQmgtHJjuKR-xt-l24x5X2eMYfH-JuBUm3VnoOTPADqJa175pR5mbEJugJkyq_uEClF7fIlaWdO1UnVBWA6X3Hm-KiwJKTMY4KTbC8Lao4H2F9pg7gyG3t5ggXkI85knEUQVOYI/s552/4b21bb1e-30a7-4103-8acd-844d913edd6e.jpg	F:/HTTrack/PHYSICS_NET/blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjLz9CsGlCUD5EEZGkuagUghpGt3ipETfFZZc1deI0/s552/4b21bb1e-30a7-4103-8acd-844d913edd6e.jpg	(from https://www.csirnetphysics.in/p/syllabusexam-patterncut-offpaper.html)
08:08:01	113711/113711	---M--	200	added ('OK')	image/jpeg	etag:%22v38a%22	https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjLz9CsGlCUD5EEZGkuagUghpGt3ipETfFZZc1deI0KSbkdAFxIX8gyGEQmgtHJjuKR-xt-l24x5X2eMYfH-JuBUm3VnoOTPADqJa175pR5mbEJugJkyq_uEClF7fIlaWdO1UnVBWA6X3Hm-KiwJKTMY4KTbC8Lao4H2F9pg7gyG3t5ggXkI85knEUQVOYI/s16000/4b21bb1e-30a7-4103-8acd-844d913edd6e.jpg	F:/HTTrack/PHYSICS_NET/blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjLz9CsGlCUD5EEZGkuagUghpGt3ipETfFZZc1deI0/s16000/4b21bb1e-30a7-4103-8acd-844d913edd6e.jpg	(from https://www.csirnetphysics.in/p/syllabusexam-patterncut-offpaper.html)
08:08:03	700789/700789	---M--	200	added ('OK')	image/png	etag:%22v393%22	https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEg_qF0rHPqupSlD_-R6QIWqztHdMdnYSqZs5odwUUXsfJ12XV36AiN9cv6enpwhMfbtQgdWQ6Gw_l8EypbfdLLUF6Vx8aJaIX4qg-2tvA2C17WeZNiC5Sfg9p6J0UWBXPgijbPxKNJ15zfrEr2l0_qcwJmvIvL7JmJEDixkn0jLQpPAjPJZtI2kycxend4h/s800/image.png	F:/HTTrack/PHYSICS_NET/blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEg_qF0rHPqupSlD_-R6QIWqztHdMdnYSqZs5odwUUX/s800/image.png	(from https://www.csirnetphysics.in/p/syllabusexam-patterncut-offpaper.html)
08:08:05	700789/700789	---M--	200	added ('OK')	image/png	etag:%22v393%22	https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEg_qF0rHPqupSlD_-R6QIWqztHdMdnYSqZs5odwUUXsfJ12XV36AiN9cv6enpwhMfbtQgdWQ6Gw_l8EypbfdLLUF6Vx8aJaIX4qg-2tvA2C17WeZNiC5Sfg9p6J0UWBXPgijbPxKNJ15zfrEr2l0_qcwJmvIvL7JmJEDixkn0jLQpPAjPJZtI2kycxend4h/s16000/image.png	F:/HTTrack/PHYSICS_NET/blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEg_qF0rHPqupSlD_-R6QIWqztHdMdnYSqZs5odwUUX/s16000/image.png	(from https://www.csirnetphysics.in/p/syllabusexam-patterncut-offpaper.html)
08:08:06	55248/55248	---MCZ	200	added ('OK')	text/html	date:Sat,%2019%20Jul%202025%2014:09:23%20GMT	https://www.csirnetphysics.in/p/important-topics.html	F:/HTTrack/PHYSICS_NET/www.csirnetphysics.in/p/important-topics.html	(from https://www.csirnetphysics.in/p/syllabusexam-patterncut-offpaper.html)
